"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0050","Avenue des Agneaux","NANTES","Agneaux","PUBLIQUE","NANTES Place du Baut","NANTES Avenue de Rome","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0052","Impasse Aguesse","NANTES","Aguesse","PRIVEE","NANTES Rue du Corps de Garde","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0056","Rue d'Aguesseau","NANTES","Aguesseau","PUBLIQUE","NANTES Place Roger Salengro","NANTES Rue Saint Jean","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"7528","Boulevard Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Honoré De Balzac","TRI'SAC","pluriel","à partir des numéros 75 et 82","lundi et jeudi","","","pluriel","jusqu'aux numeros 65 et 62 : Bellevue - Chantenay - Sainte Anne ; à partir des numeros 75 et 82 : Dervallières - Zola"
"7528","Boulevard Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Honoré De Balzac","zone_transition","pluriel","jusqu'aux numéros 65 et 62","mardi et vendredi","merc_sem_paires","","pluriel","jusqu'aux numeros 65 et 62 : Bellevue - Chantenay - Sainte Anne ; à partir des numeros 75 et 82 : Dervallières - Zola"
"7527","Passage Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Rue des Aveneaux","NANTES Rue Amiral Du Chaffault","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0058","Avenue de l'Aigrette","NANTES","Aigrette","PRIVEE","NANTES Rue Camille Desmoulins","NANTES Avenue du Triton","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"5411","Quai du Marquis d'Aiguillon","NANTES","Aiguillon","PUBLIQUE","NANTES Rue des Salorges","NANTES Rue Marcel Sembat","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0066","Avenue des Ajoncs","NANTES","Ajoncs","PRIVEE","NANTES Impasse de la Quenouille","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2748","Rue d'El Alamein","NANTES","Alamein","PUBLIQUE","NANTES Route de Saint Joseph","NANTES Rue de Koufra","TRI'SAC","unique","","mardi et vendredi","","","Nantes Erdre",""
"0070","Avenue de l'Albatros","NANTES","Albatros","PRIVEE","NANTES Rue de la Grange au Loup","NANTES Avenue de l'Astérie","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"7428","Rue du Roi Albert","NANTES","Albert","PUBLIQUE","NANTES Place Saint Pierre","NANTES Place Roger Salengro","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3291","Rue François Albert","NANTES","Albert","PUBLIQUE","NANTES Boulevard Gaston Doumergue","NANTES Boulevard Vincent Gâche","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
