"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"3292","Rue François Bonamy","NANTES","Bonamy","PUBLIQUE","NANTES Rue Félix Marquet","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0995","Rue Bonaparte","NANTES","Bonaparte","PUBLIQUE","NANTES Rue des Rosiers","NANTES Rue Félix Faure","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"4425","Avenue Jean Claude Bonduelle","NANTES","Bonduelle","PUBLIQUE","NANTES Rue de Jemmapes","NANTES Pont Aristide Briand","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1000","Avenue du Bonheur","NANTES","Bonheur","PRIVEE","NANTES Rue des Forges","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"1004","Rue Bonnamen","NANTES","Bonnamen","PUBLIQUE","NANTES Rue de la Carterie","NANTES Rue de Châteaulin","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"6928","Rue Préfet Bonnefoy","NANTES","Bonnefoy","PUBLIQUE","NANTES Avenue Chanzy","NANTES Rue Sully","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1028","Avenue Bonnet","NANTES","Bonnet","PRIVEE","NANTES Boulevard de la Fraternité","NANTES Rue Chéneau","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"1032","Chemin de la Bonnetière","NANTES","Bonnetière","PUBLIQUE","NANTES Chemin du Bas","NANTES Chemin de la Clarière","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"4822","Avenue Laurent Bonnevay","NANTES","Bonnevay","PUBLIQUE","NANTES Rue Gabriel Goudy","","zone_transition","unique","","lundi et jeudi","merc_sem_paires","","Nantes Sud",""
"1036","Chemin de Bonneville","NANTES","Bonneville","PUBLIQUE","NANTES Rue du Château de l'Eraudière","NANTES Chemin de l'Eraudière","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"3507","Avenue Gaston Bonnier","NANTES","Bonnier","PUBLIQUE","NANTES Rue Jules Grandjouan","","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"1050","Rue Professeur Yves Boquien","NANTES","Boquien","PUBLIQUE","NANTES Quai de Tourville","","extension tri'sac 2013","unique","","lundi et jeudi","","","Centre Ville",""
"1049","Allée de la Bora","NANTES","Bora","PRIVEE","NANTES Rue des Alouettes","NANTES Rue d'Autan","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2767","Rue Emile Borel","NANTES","Borel","Inconnu","NANTES Boulevard Nicéphore Niepce","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2552","Place Don Bosco","NANTES","Bosco","PUBLIQUE","NANTES Rue du Moulin des Carmes","NANTES Rue Alexandre Gosselin","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"1052","Rue des Bosquets","NANTES","Bosquets","PUBLIQUE","NANTES Rue de Grillaud","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"1054","Rue des Bosselles","NANTES","Bosselles","Inconnu","NANTES Boulevard Georges Pompidou","NANTES Chemin de la Veuze","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1056","Rue Bossuet","NANTES","Bossuet","PUBLIQUE","NANTES Rue des Trois Croissants","NANTES Rue du Moulin","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1065","Rue du Général Botha","NANTES","Botha","PUBLIQUE","NANTES Rue Pierre Dupont","NANTES Rue Maurice Terrien","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1068","Avenue Théodore Botrel","NANTES","Botrel","PRIVEE","NANTES Rue Gaston Turpin","","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1072","Rue de la Bottière","NANTES","Bottière","PUBLIQUE","NANTES Rue du Croissant","NANTES Rue Urbain Le Verrier","TRI'SAC","pluriel","des numéros 32 à 56 et 70 à 82","mardi et vendredi","","","Doulon - Bottière",""
"1072","Rue de la Bottière","NANTES","Bottière","PUBLIQUE","NANTES Rue du Croissant","NANTES Rue Urbain Le Verrier","zone_transition","pluriel","des numéros 49A à 69 et 60 à 64","mardi et vendredi","merc_sem_paires","","Doulon - Bottière",""
"1072","Rue de la Bottière","NANTES","Bottière","PUBLIQUE","NANTES Rue du Croissant","NANTES Rue Urbain Le Verrier","bacs bleus et bacs jaunes","pluriel","jusqu'aux numéros 49 et 14","vendredi","mercredi","","Doulon - Bottière",""
"1074","Chemin de la Boucardière","NANTES","Boucardière","PRIVEE","NANTES Rue du Bois Hardy","NANTES Rue du Moulin de l'Abbaye","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"6456","Chemin de la Petite Boucardière","NANTES","Boucardière","PRIVEE","NANTES Rue de l'Abbaye","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1084","Passage Bouchaud","NANTES","Bouchaud","PRIVEE","NANTES Rue de la Marne","NANTES Rue de la Juiverie","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1080","Rue Bouchaud","NANTES","Bouchaud","PUBLIQUE","NANTES Rue Littré","NANTES Rue des Dervallières","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","pluriel","jusqu'aux numeros 87 et 68 : Dervallières - Zola ; à partir des numeros 103 et 88 : Hauts Pavés - Saint Félix"
"4100","Rue Hélène Boucher","NANTES","Boucher","PUBLIQUE","NANTES Rue Jeannine","NANTES Rue Frère Louis","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"1088","Rue de la Boucherie","NANTES","Boucherie","PUBLIQUE","NANTES Rue de Feltre","NANTES Rue Cacault","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1092","Place du Bouffay","NANTES","Bouffay","PUBLIQUE","NANTES Allée de la Tremperie","NANTES Allée de la Tremperie","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1093","Rue du Bouffay","NANTES","Bouffay","PUBLIQUE","NANTES Place du Bouffay","NANTES Rue de la Paix","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1104","Rue Bougainville","NANTES","Bougainville","PUBLIQUE","NANTES Rue Marcel Sembat","NANTES Rue de la Cale Crucy","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"6590","Rue Pierre Bouguer","NANTES","Bouguer","PUBLIQUE","NANTES Rue de la Riveterie","NANTES Rue Urbain Le Verrier","zone_transition","unique","","mardi et vendredi","merc_sem_paires","","Doulon - Bottière",""
"7228","Place René Bouhier","NANTES","Bouhier","PUBLIQUE","NANTES Rue Charles Brunellière","NANTES Rue Mathurin Brissonneau","TRI'SAC","unique","","lundi et jeudi","","","Dervallières - Zola",""
"1109","Rue de Bouillé","NANTES","Bouillé","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Quai de Versailles","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1113","Rue du Bouillon","NANTES","Bouillon","PUBLIQUE","NANTES Place d'Oradour sur Glane","NANTES Place du Repos de Chasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"4416","Rue Jean Bouin","NANTES","Bouin","PUBLIQUE","NANTES Rue de la Durantière","NANTES Rue du Corps de Garde","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2044","Rue Commandant Boulay","NANTES","Boulay","PUBLIQUE","NANTES Place Félix Fournier","NANTES Place Royale","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1117","Avenue des Bouleaux","NANTES","Bouleaux","PRIVEE","NANTES Rue du Landreau","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"1118","Avenue de la Boulonnerie","NANTES","Boulonnerie","PUBLIQUE","NANTES Route de la Chapelle Sur Erdre","NANTES Avenue du Bout des Landes","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1120","Rue de la Bouquinière","NANTES","Bouquinière","PUBLIQUE","NANTES Rue de l'Olivraie","NANTES Rue de Sèvre","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"1124","Passage Bourbaki","NANTES","Bourbaki","PUBLIQUE","NANTES Boulevard Gustave Roch","NANTES Rue Grande Biesse","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1130","Rue des Bourderies","NANTES","Bourderies","PUBLIQUE","NANTES Rue des Pavillons","NANTES Boulevard Jean Moulin","zone_transition","pluriel","des numéros 13 à 29 et 12 à 30","mardi et vendredi","merc_sem_paires","","Bellevue - Chantenay - Sainte Anne",""
"1130","Rue des Bourderies","NANTES","Bourderies","PUBLIQUE","NANTES Rue des Pavillons","NANTES Boulevard Jean Moulin","bacs bleus et bacs jaunes","pluriel","les numéros 2-4-6 et à partir des numéros 45 et 32","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4737","Rue de la Bourdonnais","NANTES","Bourdonnais","PUBLIQUE","NANTES Rue Joseph Blanchart","NANTES Rue Amiral Du Chaffault","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1137","Pont des Bourdonnières","NANTES","Bourdonnières","PUBLIQUE","NANTES Rue Léon Haury","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"1138","Rue des Bourdonnières","NANTES","Bourdonnières","PUBLIQUE","ST-SEBASTIEN Route de Clisson","NANTES Route de Vertou","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"1141","Place du Bourg","NANTES","Bourg","PUBLIQUE","NANTES Rue des Réformes","NANTES Rue de Trémeac","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1148","Rue de la Bourgeonnière","NANTES","Bourgeonnière","PUBLIQUE","NANTES Route de la Jonelière","NANTES Rue Jean Poulain","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1152","Rue du Bourget","NANTES","Bourget","PUBLIQUE","NANTES Rue de Miséricorde","NANTES Rue du Poitou","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1156","Rue du Bourgneuf","NANTES","Bourgneuf","PUBLIQUE","NANTES Rue Le Nôtre","NANTES Ruelle des Tanneurs","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1160","Avenue de Bourgogne","NANTES","Bourgogne","PRIVEE","NANTES Avenue de Normandie","NANTES Rue des Pays de la Loire","TRI'SAC","unique","","mardi et vendredi","","","Nantes Erdre",""
"1167","Allée de la Bourse","NANTES","Bourse","PUBLIQUE","NANTES Rue Jean Jacques Rousseau","NANTES Allée Brancas","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1168","Place de la Bourse","NANTES","Bourse","PUBLIQUE","NANTES Rue de la Fosse","NANTES Rue Jean Jacques Rousseau","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2168","Rue Corentin Bourveau","NANTES","Bourveau","PUBLIQUE","NANTES Rue Parmentier","NANTES Rue des Epinettes","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"1173","Allée de la Bouscarle de Cetti","NANTES","Bouscarle","Inconnu","NANTES Rue Marcel Paul","NANTES Place du Bihoreau Gris","TRI'SAC","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"0013","Rue Abbé Boutet","NANTES","Boutet","PUBLIQUE","NANTES Rue de l'Echappée","","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1180","Impasse Boutillier","NANTES","Boutillier","PRIVEE","NANTES Quai de Versailles","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"2028","Rue Colonel Boutin","NANTES","Boutin","PUBLIQUE","NANTES Rue Préfet Bonnefoy","NANTES Rue Pitre Chevalier","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0367","Avenue Armand Bouvier","NANTES","Bouvier","PRIVEE","NANTES Rue du Coudray","NANTES Chemin des Violettes","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1182","Allée des Bouvreuils","NANTES","Bouvreuils","PRIVEE","NANTES Rue Auguste Ménoret","","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"6957","Avenue Président Joseph Bouyer","NANTES","Bouyer","PRIVEE","NANTES Rue du Chêne Vert","","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"5072","Rue Louis Braille","NANTES","Braille","PUBLIQUE","NANTES Rue Frère Louis","NANTES Rue Ledru Rollin","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"1184","Allée Brancas","NANTES","Brancas","PUBLIQUE","NANTES Allée Cassard","NANTES Allée de la Bourse","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"8119","Allée Titus Brandsma","NANTES","Brandsma","Inconnu","NANTES Rue du Pré-Salé","","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1189","Rue Branly","NANTES","Branly","PUBLIQUE","NANTES Place Armand Fallières","NANTES Rue Docteur Rappin","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"3656","Avenue Georges Brassens","NANTES","Brassens","PRIVEE","NANTES Rue du Moulin Neuf","NANTES Avenue Jacques Brel","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"1200","Rue de la Brasserie","NANTES","Brasserie","PUBLIQUE","NANTES Place René Bouhier","NANTES Rue Daubenton","TRI'SAC","unique","","lundi et jeudi","","","Dervallières - Zola",""
"0252","Rue Anatole le Braz","NANTES","Braz","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Villebois Mareuil","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1204","Rue de Bréa","NANTES","Bréa","PUBLIQUE","NANTES Rue des Cadeniers","NANTES Rue Flandres Dunkerque 40","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"4616","Rue Jules Bréchoir","NANTES","Bréchoir","PUBLIQUE","NANTES Place Victor Basch","NANTES Boulevard de Doulon","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"0124","Avenue Alfred Brédéloux","NANTES","Brédéloux","PRIVEE","NANTES Rue Léon Jost","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Breil - Barberie",""
"1205","Chemin de la Bregeonnière","NANTES","Bregeonnière","PUBLIQUE","NANTES Chemin de la Guiblinière","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"1208","Rue de la Bregeonnière","NANTES","Bregeonnière","PUBLIQUE","NANTES Chemin de la Boisbonnière","NANTES Chemin de la Guiblinière","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"1213","Rue du Breil","NANTES","Breil","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Rue des Plantes","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"5640","Rue Michel le Lou du Breil","NANTES","Breil","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","TRI'SAC","unique","","lundi et jeudi","","","Dervallières - Zola",""
"4299","Avenue Jacques Brel","NANTES","Brel","PRIVEE","NANTES Avenue Georges Brassens","NANTES Avenue Jean Gabin","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"1253","Avenue de Bressaut","NANTES","Bressaut","PRIVEE","NANTES Chemin de l'Eraudière","NANTES Rue du Château de l'Eraudière","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"1215","Rue de Brest","NANTES","Brest","PUBLIQUE","NANTES Rue de Pont Aven","NANTES Rue de Questembert","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1216","Place de Bretagne","NANTES","Bretagne","PUBLIQUE","NANTES Rue Léopold Cassegrain","NANTES Rue Mercoeur","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"6333","Avenue Père Bretaudeau","NANTES","Bretaudeau","PUBLIQUE","ORVAULT Route de Rennes","NANTES Rue Louis Fortun","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"6424","Avenue Petit Breton","NANTES","Breton","PRIVEE","NANTES Rue Maurice Garin","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0271","Mail André Breton","NANTES","Breton","PRIVEE","","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1220","Chemin Bretonnelle","NANTES","Bretonnelle","PUBLIQUE","NANTES Rue des Alouettes","NANTES Rue de l'Etang","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1224","Chemin de la Bretonnière","NANTES","Bretonnière","PUBLIQUE","NANTES Route de Saint Joseph","","TRI'SAC","unique","","mardi","","","Nantes Erdre",""
"1228","Impasse Bretonnière","NANTES","Bretonnière","PRIVEE","NANTES Rue de la Contrie","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"7542","Rue de Saint Brévin","NANTES","Brévin","PUBLIQUE","NANTES Rue des Bourderies","NANTES Impasse Gadebois","zone_transition","unique","","mardi et vendredi","merc_sem_paires","","Bellevue - Chantenay - Sainte Anne",""
"5210","Impasse du Maillé Brézé","NANTES","Brézé","PRIVEE","NANTES Rue Firmin Colas","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0360","Place Aristide Briand","NANTES","Briand","PUBLIQUE","","","Centre-ville en C3","pluriel","","lundi - mercredi - vendredi","","","Centre Ville",""
"0360","Place Aristide Briand","NANTES","Briand","PUBLIQUE","","","extension tri'sac 2013","pluriel","le numero 5","mardi et vendredi","","","Centre Ville",""
"1232","Chemin de la Brianderie","NANTES","Brianderie","PUBLIQUE","NANTES Rue de la Brianderie","NANTES Rue Gutenberg","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1240","Rue de la Brianderie","NANTES","Brianderie","PUBLIQUE","NANTES Rue Fontaine des Baronnies","NANTES Rue Gutenberg","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1248","Impasse Brillouet","NANTES","Brillouet","PRIVEE","NANTES Rue de Coulmiers","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2496","Rue Docteur Brindeau","NANTES","Brindeau","PUBLIQUE","NANTES Rue de la Bastille","NANTES Rue Félibien","extension tri'sac 2013","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"1256","Rue de Briord","NANTES","Briord","PUBLIQUE","NANTES Place du Pilori","NANTES Place Saint Vincent","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1257","Impasse des Briotins","NANTES","Briotins","PRIVEE","NANTES Rue de Gesvres","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1258","Allée de la Brise","NANTES","Brise","PRIVEE","NANTES Avenue du Suroit","NANTES Avenue de Noroit","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"5073","Rue Louis Brisset","NANTES","Brisset","PUBLIQUE","NANTES Rue Commandant Henri Viot","","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"5492","Rue Mathurin Brissonneau","NANTES","Brissonneau","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","TRI'SAC","unique","","lundi et jeudi","","","Dervallières - Zola",""
"4321","Rue Jacques-Pierre Brissot","NANTES","Brissot","PRIVEE","NANTES Rue de l'Ile Botty","NANTES Rue Victor Schoelcher","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2192","Rue Costes et Le Brix","NANTES","Brix","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Casimir Perier","zone_transition","unique","","lundi et jeudi","merc_sem_impaires","","Hauts Pavés - Saint Félix",""
"0444","Rue Auguste Brizeux","NANTES","Brizeux","PUBLIQUE","NANTES Rue de Bel Air","NANTES Rue Frédureau","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"6556","Rue Philippe de Broca","NANTES","Broca","PUBLIQUE","NANTES Avenue de Lusancay","NANTES Rue Fontaine des Baronnies","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"A053","Cour de la Brocante","NANTES","Brocante","PRIVEE","NANTES Rue des Hauts Pavés","NANTES Rue du Poitou","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1259","Avenue de Broceliande","NANTES","Broceliande","Inconnu","NANTES Avenue des Korrigans","NANTES Rue du Haut Launay","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"1260","Impasse Brochard","NANTES","Brochard","PRIVEE","NANTES Rue des Pavillons","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"5078","Avenue Louis De Broglie","NANTES","Broglie","PRIVEE","NANTES Boulevard Albert Einstein","","bacs bleus","unique","Pas de collecte sélective en porte à porte","","","","Nantes Nord",""
"0372","Rue Armand Brossard","NANTES","Brossard","PUBLIQUE","NANTES Place de l'Ecluse","NANTES Rue Siméon Foucault","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3972","Rue Guillet de la Brosse","NANTES","Brosse","PUBLIQUE","NANTES Place des Enfants Nantais","NANTES Rue du Coudray","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1264","Rue de Brosses","NANTES","Brosses","PUBLIQUE","NANTES Rue Linné","NANTES Boulevard de Launay","extension tri'sac 2013","unique","","mardi et vendredi","","","Dervallières - Zola",""
"1267","Rue du Brouillard","NANTES","Brouillard","Inconnu","NANTES Rue de la Fontaine Caron","NANTES Rue de la Fontaine Caron","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"3295","Avenue François Broussais","NANTES","Broussais","MIXTE","NANTES Rue Corentin Bourveau","NANTES Rue Corentin Bourveau","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"4212","Rue Honoré Broutelle","NANTES","Broutelle","PUBLIQUE","NANTES Boulevard Ernest Dalby","NANTES Rue de la Ville en Pierre","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"6591","Allée Pierre Bruegel","NANTES","Bruegel","PRIVEE","NANTES Rue Jean Jacques Audubon","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Doulon - Bottière",""
"1278","Allée Brulebois","NANTES","Brulebois","PUBLIQUE","NANTES Rue des Alisiers","NANTES Rue de la Grange au Loup","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"1280","Rue du Brûlis","NANTES","Brûlis","PUBLIQUE","NANTES Rue des Forges","NANTES Chemin du Ponceau","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"4417","Esplanade Jean Bruneau","NANTES","Bruneau","PUBLIQUE","NANTES Rue de l'Hermitage","","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"3296","Rue François Bruneau","NANTES","Bruneau","PUBLIQUE","NANTES Boulevard Amiral Courbet","NANTES Rue Paul Bellamy","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1688","Rue Charles Brunellière","NANTES","Brunellière","PUBLIQUE","NANTES Place Commandant Jean l'Herminier","NANTES Place René Bouhier","TRI'SAC","unique","","lundi et jeudi","","","pluriel","numeros impairs : Dervallières - Zola ; numeros pairs : Centre-Ville"
"4118","Rue Henri Brunellière","NANTES","Brunellière","PUBLIQUE","NANTES Rue Honoré Broutelle","NANTES Rue du Casterneau","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"1300","Rue de Bruxelles","NANTES","Bruxelles","PUBLIQUE","NANTES Rue d'Allemagne","NANTES Rue du Marché Commun","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Doulon - Bottière",""
"4440","Rue Jean De La Bruyère","NANTES","Bruyère","PUBLIQUE","NANTES Rue Vincent Scotto","NANTES Rue Blaise Pascal","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1288","Rue des Bruyères","NANTES","Bruyères","PUBLIQUE","NANTES Rue Stendhal","NANTES Rue Jacques Cartier","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1378","Rue Camille Bryen","NANTES","Bryen","Inconnu","NANTES Place de la Basse Mar","NANTES Quai Dumont d'Urville","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"3556","Rue Général Buat","NANTES","Buat","PUBLIQUE","NANTES Rond-Point de Paris","NANTES Avenue Chanzy","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1292","Rue de Budapest","NANTES","Budapest","PUBLIQUE","NANTES Place des Volontaires de la Défen","NANTES Rue Mercoeur","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"4902","Rue Léon Buerne","NANTES","Buerne","PUBLIQUE","NANTES Rue Anatole de Monzie","NANTES Rue Georges Leygues","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1296","Rue Buffon","NANTES","Buffon","PUBLIQUE","NANTES Rue Franklin","NANTES Rue Copernic","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3104","Rue Ferdinand Buisson","NANTES","Buisson","PUBLIQUE","NANTES Place Charles Lechat","NANTES Rue Amiral Du Chaffault","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"4904","Boulevard Léon Bureau","NANTES","Bureau","PUBLIQUE","NANTES Rue Julien Videment","NANTES Boulevard de la Prairie au Duc","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"1302","Chemin du Buron","NANTES","Buron","PRIVEE","NANTES Route de la Jonelière","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1316","Chemin du Buzard","NANTES","Buzard","PRIVEE","NANTES Rue Réaumur","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"6560","Rue Philippe de Cabrol","NANTES","Cabrol","PUBLIQUE","NANTES Rue Gutenberg","NANTES Boulevard de la Liberté","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1324","Rue Cacault","NANTES","Cacault","PUBLIQUE","NANTES Rue de Feltre","NANTES Rue des 2 Ponts","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
